City/Community,,House_units,House_price,House_change,House_foot,Condo_units,Condo_price,Condo_change,Month,
Escondido,92025,39,545,-0.084,310,10,376,0.203,May18,
Escondido,92026,70,525,0.094,294,4,402,0.562,May18,
Escondido,92027,51,495,0.034,328,5,240,0.263,May18,
Escondido,92029,22,725,0.021,317,,,,May18,
Fallbrook,92028,77,565,0.027,289,2,299,-0.251,May18,
Hillcrest,92103,18,1153,0.246,587,34,493,-0.024,May18,
Imperial Beach,91932,22,596,0.032,419,9,520,0.036,May18,
Jacumba,91934,,,,,,,,May18,
Jamul,91935,16,673,0.036,329,,,,May18,
Julian,92036,6,282,-0.163,197,,,,May18,
La Jolla,92037,29,1910,-0.124,785,52,880,0.285,May18,
La Mesa,91941,49,615,0.008,313,4,326,-0.041,May18,
La Mesa,91942,35,545,0.101,415,19,344,0.177,May18,
Lakeside,92040,47,535,0.103,294,12,240,0.062,May18,
Lemon Grove,91945,35,462,0.137,310,3,270,0.071,May18,
Linda Vista,92111,25,620,0.055,475,21,435,0.152,May18,
Logan Heights,92113,10,369,0.094,325,2,398,0.753,May18,
Mira Mesa,92126,37,618,0.104,418,29,392,0.136,May18,
Mission Village,92123,7,629,0.109,456,8,340,0.097,May18,
National City,91950,21,440,0.033,313,6,182,-0.496,May18,
Normal Heights,92116,16,618,-0.148,618,17,398,0.121,May18,
North Park,92104,32,779,0.053,662,21,385,0.176,May18,
Ocean Beach,92107,15,951,-0.247,663,10,491,0.102,May18,
Oceanside,92054,21,770,0.100,434,14,531,0.123,May18,
Oceanside,92056,64,589,0.105,335,15,535,0.646,May18,
Oceanside,92057,94,490,0.016,316,16,393,0.442,May18,
Oceanside,92058,,,,,,,,May18,
Pacific Beach,92109,24,1100,-0.040,815,33,735,0.225,May18,
Palomar Mountain,92060,2,420,,205,,,,May18,
Paradise Hills,92139,26,420,-0.028,283,11,340,0.259,May18,
Pauma Valley,92061,5,551,0.328,188,4,344,-0.016,May18,
Pine Valley,91962,,,,,1,95,,May18,
Point Loma,92106,31,1050,0.123,643,2,468,0.177,May18,
Potrero,91963,1,315,-0.149,398,,,,May18,
Poway,92064,49,800,0.096,380,5,507,0.018,May18,
Ramona,92065,54,540,0.041,283,,,,May18,
Ranch Bernardo,92127,47,1125,0.069,384,28,538,0.222,May18,
Ranch Bernardo,92128,42,808,0.115,407,64,463,0.016,May18,
Ranch Penasquitos,92129,44,823,0.097,420,18,404,0.223,May18,
Ranch Santa Fe,92067,12,2200,-0.112,471,1,1375,,May18,
Ranch Santa Fe,92091,6,978,-0.129,488,,,,May18,
Ranchita,92066,2,228,-0.345,349,,,,May18,
San Carlos,92119,23,623,-0.027,430,15,310,0.086,May18,
San Diego,92108,2,595,-0.031,422,47,387,0.076,May18,
San Diego,92112,,,,,,,,May18,
San Marcos,92069,39,590,0.017,338,5,439,0.551,May18,
San Marcos,92078,38,793,0.116,332,24,463,-0.021,May18,
San Ysidro,92173,6,510,0.121,312,7,284,0.171,May18,
Santa Ysabel,92070,,,,,,,,May18,
Santee,92071,68,535,0.070,371,40,413,0.179,May18,
Scripps Ranch,92131,26,887,-0.014,442,15,532,0.094,May18,
Solana Beach,92075,10,1275,-0.110,789,12,963,0.287,May18,
Sorrento Valley,92121,5,1025,0.072,443,2,509,-0.094,May18,
South San Diego,92154,36,500,0.150,307,17,370,0.231,May18,
Spring Valley,91977,51,460,0.070,306,10,339,0.209,May18,
Spring Valley,91978,4,644,0.423,234,2,323,0.162,May18,
Tierrasanta,92124,22,716,-0.044,372,8,463,0.077,May18,
University City,92122,12,836,-0.016,538,25,465,0.206,May18,
Valley Center,92082,23,656,0.112,285,,,,May18,
Vista,92081,36,575,0.009,333,7,375,0.221,May18,
Vista,92083,21,486,0.115,307,4,350,0.208,May18,
Vista,92084,36,550,0.047,339,2,348,0.225,May18,
Warner Springs,92086,1,337,-0.169,83,,,,May18,
Countywide,,"2,403",630,0.061,360,"1,190",430,0.044,Jun18,
Allied Gardens,92120,27,640,0.091,392,13,320,-0.012,Jun18,
Alpine,91901,16,585,-0.103,313,6,313,0.645,Jun18,
Bay Park,92110,7,860,0.147,448,20,389,-0.082,Jun18,
Bonita,91902,12,787,0.183,302,3,308,-0.107,Jun18,
Bonsall,92003,8,883,0.070,256,2,467,0.668,Jun18,
Borrego Springs,92004,7,275,0.078,159,1,40,-0.521,Jun18,
Boulevard,91905,2,366,5.221,211,0,,,Jun18,
Campo,91906,7,289,0.257,193,0,,,Jun18,
Cardiff-by-the-Sea,92007,9,1350,0.271,704,3,900,0.470,Jun18,
Carlsbad,92008,24,876,-0.078,398,13,720,0.301,Jun18,
Carlsbad,92009,55,1100,0.114,395,36,526,0.206,Jun18,
Carlsbad,92010,18,736,-0.002,398,1,434,-0.192,Jun18,
Carlsbad,92011,27,985,-0.039,452,7,990,0.242,Jun18,
Carmel Valley,92130,40,1271,0.059,474,34,659,0.045,Jun18,
Chula Vista,91910,52,550,0.120,318,16,345,0.016,Jun18,
Chula Vista,91911,38,500,0.087,334,18,327,0.004,Jun18,
Chula Vista,91913,38,619,0.081,273,25,410,0.192,Jun18,
Chula Vista,91914,16,730,-0.052,263,6,419,0.131,Jun18,
Chula Vista,91915,21,650,0.080,261,33,465,0.083,Jun18,
Clairemont,92117,40,669,0.070,511,12,410,0.037,Jun18,
College Grove,92115,48,594,0.164,435,24,253,-0.096,Jun18,
Coronado,92118,19,2300,0.516,922,15,961,-0.232,Jun18,
Del Mar,92014,14,2000,0.223,628,6,1200,0.036,Jun18,
Descanso,91916,3,500,0.124,266,0,,,Jun18,
Downtown,92101,4,693,0.015,628,82,602,0.089,Jun18,
Dulzura,91917,0,,,,0,,,Jun18,
East San Diego,92102,13,605,0.603,529,5,390,0.393,Jun18,
East San Diego,92105,17,448,0.078,432,13,235,-0.113,Jun18,
El Cajon,92019,49,580,-0.050,335,21,339,0.189,Jun18,
El Cajon,92020,47,569,0.007,335,18,250,0.087,Jun18,
El Cajon,92021,55,515,0.078,320,12,325,0.236,Jun18,
Encanto,92114,35,460,0.117,338,4,330,,Jun18,
Encinitas,92024,37,1142,-0.131,508,14,630,0.084,Jun18,
Escondido,92025,32,628,0.195,324,9,361,-0.011,Jun18,
Escondido,92026,41,511,0.002,317,4,225,-0.109,Jun18,
Escondido,92027,52,503,0.142,320,3,310,0.485,Jun18,
Escondido,92029,28,621,0.034,321,1,320,-0.307,Jun18,
Fallbrook,92028,72,580,0.051,281,2,220,-0.500,Jun18,
Hillcrest,92103,21,1250,0.360,653,34,487,0.069,Jun18,
Imperial Beach,91932,14,600,-0.020,513,9,470,0.173,Jun18,
Jacumba,91934,0,,,,0,,,Jun18,
Jamul,91935,13,499,-0.131,266,0,,,Jun18,
Julian,92036,9,395,0.132,231,0,,,Jun18,
La Jolla,92037,33,1975,-0.109,865,59,705,0.076,Jun18,
La Mesa,91941,33,633,0.041,307,5,295,0.161,Jun18,
La Mesa,91942,41,566,0.134,378,18,368,0.225,Jun18,
Lakeside,92040,30,522,0.076,283,15,240,0.107,Jun18,
Lemon Grove,91945,21,450,0.033,357,3,288,0.108,Jun18,
Linda Vista,92111,34,640,0.089,447,19,455,0.255,Jun18,
Logan Heights,92113,12,463,0.303,345,2,315,0.144,Jun18,
Mira Mesa,92126,30,633,0.081,448,24,385,0.041,Jun18,
Mission Village,92123,20,640,0.076,467,11,375,-0.148,Jun18,
National City,91950,14,431,0.149,402,1,260,-0.039,Jun18,
Normal Heights,92116,22,913,0.375,699,14,385,0.049,Jun18,
North Park,92104,28,682,-0.132,636,22,378,0.044,Jun18,
Ocean Beach,92107,16,903,-0.289,727,10,608,0.072,Jun18,
Oceanside,92054,22,625,0.065,402,15,555,-0.043,Jun18,
Oceanside,92056,70,550,0.055,338,11,370,0.182,Jun18,
Oceanside,92057,66,512,0.023,285,11,365,0.159,Jun18,
Oceanside,92058,,,,,,,,Jun18,
Pacific Beach,92109,20,1130,0.189,764,33,557,-0.138,Jun18,
Palomar Mountain,92060,0,,,,0,,,Jun18,
Paradise Hills,92139,17,408,-0.006,285,8,295,0.073,Jun18,
Pauma Valley,92061,2,364,-0.367,201,3,335,,Jun18,
Pine Valley,91962,5,493,0.106,323,0,,,Jun18,
Point Loma,92106,21,1380,0.188,600,7,785,0.143,Jun18,
Potrero,91963,1,410,,382,0,,,Jun18,
Poway,92064,56,683,0.033,391,11,470,-0.066,Jun18,
Ramona,92065,46,530,0.020,282,2,304,0.086,Jun18,
Ranch Bernardo,92127,50,1163,0.198,350,28,492,0.166,Jun18,
Ranch Bernardo,92128,41,765,0.017,386,63,445,0.030,Jun18,
Ranch Penasquitos,92129,60,845,0.115,399,13,415,0.051,Jun18,
Ranch Santa Fe,92067,24,2730,0.110,541,0,,,Jun18,
Ranch Santa Fe,92091,1,3550,1.029,1015,2,824,0.445,Jun18,
Ranchita,92066,0,,,,0,,,Jun18,
San Carlos,92119,25,650,0.133,362,10,413,0.587,Jun18,
San Diego,92108,2,618,0.154,400,37,355,-0.027,Jun18,
San Diego,92112,0,,,,0,,,Jun18,
San Marcos,92069,33,620,0.117,315,6,324,0.019,Jun18,
San Marcos,92078,55,754,0.001,308,36,514,0.097,Jun18,
San Ysidro,92173,6,446,0.064,275,10,223,-0.168,Jun18,
Santa Ysabel,92070,2,480,0.236,260,0,,,Jun18,
Santee,92071,41,549,0.058,341,24,376,0.004,Jun18,
Scripps Ranch,92131,30,983,0.110,373,19,523,0.075,Jun18,
Solana Beach,92075,7,1300,0.143,572,10,896,0.009,Jun18,
Sorrento Valley,92121,4,938,0.311,367,2,612,0.073,Jun18,
South San Diego,92154,44,504,0.084,294,11,360,0.091,Jun18,
Spring Valley,91977,46,478,0.073,311,14,305,0.251,Jun18,
Spring Valley,91978,10,563,-0.054,323,4,303,0.106,Jun18,
Tierrasanta,92124,14,818,0.203,399,10,455,-0.016,Jun18,
University City,92122,25,907,0.092,487,25,450,0.065,Jun18,
Valley Center,92082,24,549,-0.068,316,2,240,,Jun18,
Vista,92081,30,611,0.101,311,6,334,-0.165,Jun18,
Vista,92083,22,492,0.200,336,9,330,0.119,Jun18,
Vista,92084,41,585,0.075,318,8,358,-0.040,Jun18,
Warner Springs,92086,1,260,-0.233,542,0,,,Jun18,
Countywide,,"2,314",630,0.068,356,"1,080",432,0.067,Jul18,
Allied Gardens,92120,31,720,0.183,414,8,309,-0.219,Jul18,
Alpine,91901,26,640,-0.016,298,4,249,-0.136,Jul18,
Bay Park,92110,9,910,0.202,554,23,418,-0.143,Jul18,
Bonita,91902,11,705,-0.007,317,5,445,0.534,Jul18,
Bonsall,92003,5,999,1.081,297,3,298,0.148,Jul18,
Borrego Springs,92004,8,150,-0.268,105,1,131,0.083,Jul18,
Boulevard,91905,2,128,,235,,,,Jul18,
Campo,91906,4,325,0.163,196,,,,Jul18,
Cardiff-by-the-Sea,92007,10,1131,0.312,706,2,987,1.005,Jul18,
Carlsbad,92008,22,976,0.084,447,13,679,0.165,Jul18,
Carlsbad,92009,43,1075,0.176,360,31,519,0.193,Jul18,
Carlsbad,92010,15,820,0.068,379,3,530,0.065,Jul18,
Carlsbad,92011,15,905,0.028,441,15,675,-0.025,Jul18,
Carmel Valley,92130,35,1330,0.011,448,30,680,0.131,Jul18,
Chula Vista,91910,32,519,-0.052,332,6,375,-0.038,Jul18,
Chula Vista,91911,31,490,0.054,314,9,350,0.029,Jul18,
Chula Vista,91913,58,645,0.102,259,30,407,0.073,Jul18,
Chula Vista,91914,15,795,0.104,289,6,434,0.045,Jul18,
Chula Vista,91915,17,640,0.085,278,29,430,0.049,Jul18,
Clairemont,92117,43,670,0.060,497,14,475,0.367,Jul18,
College Grove,92115,39,575,0.117,455,18,243,-0.030,Jul18,
Coronado,92118,14,2448,0.323,1051,9,1260,-0.334,Jul18,
Del Mar,92014,14,1850,0.205,544,5,1375,0.210,Jul18,
Descanso,91916,3,499,0.295,282,,,,Jul18,
Downtown,92101,2,411,,499,67,529,-0.007,Jul18,
Dulzura,91917,,,,,,,,Jul18,
East San Diego,92102,11,440,-0.154,343,7,233,-0.354,Jul18,
East San Diego,92105,25,430,0.024,467,13,300,0.240,Jul18,
El Cajon,92019,39,619,0.080,321,21,340,0.030,Jul18,
El Cajon,92020,44,597,0.256,345,8,271,0.154,Jul18,
El Cajon,92021,34,521,0.144,319,6,237,0.033,Jul18,
Encanto,92114,51,458,0.079,325,1,425,,Jul18,
Encinitas,92024,48,1253,0.101,504,12,641,0.321,Jul18,
Escondido,92025,29,545,-0.009,292,9,307,-0.140,Jul18,
Escondido,92026,54,581,0.090,288,10,229,-0.414,Jul18,
Escondido,92027,53,525,0.125,299,6,288,0.278,Jul18,
Escondido,92029,22,750,-0.022,341,2,359,-0.258,Jul18,
Fallbrook,92028,72,560,0.122,282,2,300,0.415,Jul18,
Hillcrest,92103,14,1003,0.069,569,28,512,-0.052,Jul18,
Imperial Beach,91932,7,600,0.101,526,7,340,-0.376,Jul18,
Jacumba,91934,3,177,,147,,,,Jul18,
Jamul,91935,8,829,0.392,260,,,,Jul18,
Julian,92036,9,413,0.285,277,,,,Jul18,
La Jolla,92037,32,1676,-0.207,693,48,783,-0.006,Jul18,
La Mesa,91941,35,625,-0.012,327,2,317,0.289,Jul18,
La Mesa,91942,30,575,0.050,417,15,338,-0.013,Jul18,
Lakeside,92040,36,536,0.072,321,13,245,0.096,Jul18,
Lemon Grove,91945,22,460,0.038,318,4,305,0.338,Jul18,
Linda Vista,92111,22,629,-0.010,511,18,402,-0.015,Jul18,
Logan Heights,92113,20,400,0.088,344,1,250,-0.115,Jul18,
Mira Mesa,92126,39,603,0.074,431,18,391,0.070,Jul18,
Mission Village,92123,13,635,0.104,450,5,515,0.184,Jul18,
National City,91950,19,438,0.088,309,3,420,0.474,Jul18,
Normal Heights,92116,19,640,-0.062,660,15,350,-0.014,Jul18,
North Park,92104,35,1330,0.011,704,30,680,0.131,Jul18,
Ocean Beach,92107,22,726,0.011,811,24,401,0.029,Jul18,
Oceanside,92054,13,925,0.095,446,16,455,0.063,Jul18,
Oceanside,92056,33,755,0.258,335,24,566,0.502,Jul18,
Oceanside,92057,67,575,0.086,301,8,302,-0.138,Jul18,
Oceanside,92058,87,502,0.014,,12,335,0.006,Jul18,
Pacific Beach,92109,20,1278,0.246,656,28,633,-0.109,Jul18,
Palomar Mountain,92060,2,248,,178,,,,Jul18,
Paradise Hills,92139,14,455,0.034,358,6,326,-0.048,Jul18,
Pauma Valley,92061,2,598,,244,2,265,,Jul18,
Pine Valley,91962,3,496,-0.010,373,1,113,,Jul18,
Point Loma,92106,20,1085,-0.123,557,4,759,0.076,Jul18,
Potrero,91963,,,,,,,,Jul18,
Poway,92064,58,764,-0.024,388,6,503,0.052,Jul18,
Ramona,92065,38,518,0.035,262,4,344,0.465,Jul18,
Ranch Bernardo,92127,55,1175,0.069,391,31,641,0.295,Jul18,
Ranch Bernardo,92128,33,812,0.101,396,39,480,0.085,Jul18,
Ranch Penasquitos,92129,44,845,0.119,397,18,435,0.151,Jul18,
Ranch Santa Fe,92067,18,2260,-0.058,540,1,1418,,Jul18,
Ranch Santa Fe,92091,3,2250,0.404,494,1,925,0.726,Jul18,
Ranchita,92066,,,,,,,,Jul18,
San Carlos,92119,27,647,0.048,372,16,333,0.093,Jul18,
San Diego,92108,1,508,,291,53,335,0.000,Jul18,
San Diego,92112,,,,,,,,Jul18,
San Marcos,92069,41,650,0.140,314,8,449,0.349,Jul18,
San Marcos,92078,48,773,0.051,329,33,495,0.042,Jul18,
San Ysidro,92173,5,440,0.000,368,6,227,0.000,Jul18,
Santa Ysabel,92070,2,577,0.879,281,,,,Jul18,
Santee,92071,57,555,0.057,354,20,364,0.077,Jul18,
Scripps Ranch,92131,31,1029,0.145,372,21,581,0.249,Jul18,
Solana Beach,92075,10,1763,0.410,617,4,775,-0.189,Jul18,
Sorrento Valley,92121,1,784,,512,1,531,-0.017,Jul18,
South San Diego,92154,24,494,0.009,309,9,327,-0.019,Jul18,
Spring Valley,91977,62,480,0.091,328,5,255,-0.147,Jul18,
Spring Valley,91978,3,550,0.083,299,1,237,-0.164,Jul18,
Tierrasanta,92124,17,654,-0.103,364,8,391,-0.107,Jul18,
University City,92122,17,970,0.156,504,32,485,0.155,Jul18,
Valley Center,92082,20,639,-0.009,243,,,,Jul18,
Vista,92081,25,590,0.083,300,8,469,-0.014,Jul18,
Vista,92083,23,536,0.139,295,1,356,-0.043,Jul18,
Vista,92084,32,560,0.143,305,6,344,-0.027,Jul18,
Warner Springs,92086,,,,,,,,Jul18,
Countywide,,"2,322",629,0.075,359,"1,105",429,0.073,Aug18,
Allied Gardens,92120,40,662,0.029,407,20,298,-0.137,Aug18,
Alpine,91901,15,614,-0.018,298,2,254,0.006,Aug18,
Bay Park,92110,19,820,-0.057,570,25,413,0.136,Aug18,
Bonita,91902,14,697,0.072,323,3,418,0.637,Aug18,
Bonsall,92003,6,661,0.104,326,1,303,-0.109,Aug18,
Borrego Springs,92004,10,226,-0.200,132,,,,Aug18,
Boulevard,91905,,,,,,,,Aug18,
Campo,91906,6,225,-0.263,240,,,,Aug18,
Cardiff-by-the-Sea,92007,14,1000,-0.265,684,2,685,,Aug18,
Carlsbad,92008,23,1005,0.057,427,11,750,0.293,Aug18,
Carlsbad,92009,41,1090,0.104,372,22,459,-0.058,Aug18,
Carlsbad,92010,16,740,0.096,357,7,554,0.189,Aug18,
Carlsbad,92011,30,959,0.078,457,15,760,0.007,Aug18,
Carmel Valley,92130,53,1360,0.153,445,24,615,-0.024,Aug18,
Chula Vista,91910,36,560,0.067,325,18,362,0.094,Aug18,
Chula Vista,91911,37,488,0.061,359,13,330,0.048,Aug18,
Chula Vista,91913,51,600,0.075,280,26,403,0.073,Aug18,
Chula Vista,91914,11,880,0.278,281,4,404,-0.038,Aug18,
Chula Vista,91915,14,663,0.086,262,20,443,0.029,Aug18,
Clairemont,92117,38,682,0.089,520,12,389,0.074,Aug18,
College Grove,92115,35,590,0.073,461,22,318,0.034,Aug18,
Coronado,92118,7,2704,0.430,1040,10,1250,0.420,Aug18,
Del Mar,92014,6,1736,-0.206,719,6,983,-0.173,Aug18,
Descanso,91916,1,500,0.176,219,,,,Aug18,
Downtown,92101,1,550,-0.056,873,73,580,-0.017,Aug18,
Dulzura,91917,,,,,,,,Aug18,
East San Diego,92102,16,527,0.326,388,16,363,0.072,Aug18,
East San Diego,92105,36,446,0.125,426,8,218,0.279,Aug18,
El Cajon,92019,41,645,0.209,289,17,355,0.152,Aug18,
El Cajon,92020,35,615,0.194,324,13,260,0.178,Aug18,
El Cajon,92021,39,491,-0.072,307,11,290,-0.003,Aug18,
Encanto,92114,58,445,0.047,318,3,205,-0.453,Aug18,
Encinitas,92024,50,1052,-0.201,480,14,663,-0.007,Aug18,
Escondido,92025,31,532,-0.001,324,15,310,-0.070,Aug18,
Escondido,92026,50,535,0.068,287,3,240,-0.030,Aug18,
Escondido,92027,67,525,0.154,310,7,235,-0.051,Aug18,
Escondido,92029,23,735,0.105,323,,,,Aug18,
Fallbrook,92028,57,615,0.139,283,1,395,0.837,Aug18,
Hillcrest,92103,8,1700,0.698,591,26,568,0.300,Aug18,
Imperial Beach,91932,11,615,0.160,429,11,380,0.206,Aug18,
Jacumba,91934,,,,,,,,Aug18,
Jamul,91935,3,739,0.351,331,,,,Aug18,
Julian,92036,8,400,0.216,284,,,,Aug18,
La Jolla,92037,29,1948,-0.144,756,43,640,-0.224,Aug18,
La Mesa,91941,32,605,-0.087,332,3,340,,Aug18,
La Mesa,91942,24,551,0.030,388,19,328,0.008,Aug18,
Lakeside,92040,30,523,0.051,283,11,270,0.292,Aug18,
Lemon Grove,91945,24,464,0.031,321,3,305,0.172,Aug18,
Linda Vista,92111,26,635,0.050,495,19,435,0.024,Aug18,
Logan Heights,92113,8,406,-0.067,385,2,251,-0.064,Aug18,
Mira Mesa,92126,53,617,0.101,409,16,373,0.033,Aug18,
Mission Village,92123,17,600,0.022,423,12,503,0.377,Aug18,
National City,91950,12,444,0.123,324,4,352,-0.049,Aug18,
Normal Heights,92116,18,864,0.156,660,20,380,-0.057,Aug18,
North Park,92104,22,684,0.090,685,13,425,0.523,Aug18,
Ocean Beach,92107,13,985,-0.077,695,7,451,0.074,Aug18,
Oceanside,92054,23,639,-0.038,349,28,712,0.498,Aug18,
Oceanside,92056,80,525,-0.038,348,4,375,0.178,Aug18,
Oceanside,92057,79,500,-0.044,297,13,329,0.049,Aug18,
Oceanside,92058,9,517,0.136,365,11,350,0.111,Aug18,
Pacific Beach,92109,16,1213,0.010,610,38,704,0.451,Aug18,
Palomar Mountain,92060,2,320,,231,,,,Aug18,
Paradise Hills,92139,15,445,-0.043,288,9,314,-0.006,Aug18,
Pauma Valley,92061,3,575,0.065,259,2,325,0.193,Aug18,
Pine Valley,91962,7,512,0.174,327,,,,Aug18,
Point Loma,92106,30,1160,0.089,529,3,520,-0.203,Aug18,
Potrero,91963,,,,,,,,Aug18,
Poway,92064,54,730,-0.014,396,9,485,0.060,Aug18,
Ramona,92065,52,550,0.058,276,4,276,-0.117,Aug18,
Ranch Bernardo,92127,51,1140,0.140,362,30,577,0.129,Aug18,
Ranch Bernardo,92128,46,765,0.003,405,54,439,0.058,Aug18,
Ranch Penasquitos,92129,42,845,0.083,375,21,366,-0.134,Aug18,
Ranch Santa Fe,92067,24,3000,0.186,558,1,1195,-0.070,Aug18,
Ranch Santa Fe,92091,6,1481,-0.487,528,,,,Aug18,
Ranchita,92066,1,109,,250,,,,Aug18,
San Carlos,92119,23,700,0.116,382,14,303,-0.029,Aug18,
San Diego,92108,1,650,0.324,372,31,356,0.030,Aug18,
San Diego,92112,,,,,,,,Aug18,
San Marcos,92069,32,580,0.064,337,11,320,-0.012,Aug18,
San Marcos,92078,43,830,0.085,305,25,480,0.031,Aug18,
San Ysidro,92173,3,350,-0.156,262,2,248,-0.124,Aug18,
Santa Ysabel,92070,,,,,,,,Aug18,
Santee,92071,47,535,0.039,359,28,366,0.119,Aug18,
Scripps Ranch,92131,40,913,-0.002,389,13,530,0.140,Aug18,
Solana Beach,92075,13,1325,-0.020,660,17,1300,0.448,Aug18,
Sorrento Valley,92121,2,965,-0.040,382,5,560,0.178,Aug18,
South San Diego,92154,29,500,0.033,296,11,365,0.103,Aug18,
Spring Valley,91977,38,470,0.051,315,12,338,0.288,Aug18,
Spring Valley,91978,3,480,-0.135,396,5,310,0.066,Aug18,
Tierrasanta,92124,14,730,0.070,404,10,449,0.056,Aug18,
University City,92122,19,875,0.002,463,29,462,-0.012,Aug18,
Valley Center,92082,13,675,0.195,243,,,,Aug18,
Vista,92081,30,606,0.063,311,4,303,-0.143,Aug18,
Vista,92083,24,490,0.077,309,5,389,0.340,Aug18,
Vista,92084,37,560,0.037,307,2,365,0.248,Aug18,
Warner Springs,92086,,368,0.269,,,,,Aug18,
Countywide,,"1,820",615,0.051,359,867,428,0.056,Sep18,
Allied Gardens,92120,25,613,-0.108,398,8,338,0.031,Sep18,
Alpine,91901,14,690,0.149,298,3,250,-0.014,Sep18,
Bay Park,92110,17,795,0.085,552,16,424,0.022,Sep18,
Bonita,91902,13,813,0.119,321,3,320,0.103,Sep18,
Bonsall,92003,4,700,-0.386,241,3,319,0.036,Sep18,
Borrego Springs,92004,6,234,0.006,133,1,45,,Sep18,
Boulevard,91905,2,115,-0.680,162,0,,,Sep18,
Campo,91906,5,335,0.207,176,0,,,Sep18,
Cardiff-by-the-Sea,92007,5,1100,0.237,745,0,,,Sep18,
Carlsbad,92008,17,950,0.134,479,10,649,0.031,Sep18,
Carlsbad,92009,36,1053,0.103,372,12,453,-0.088,Sep18,
Carlsbad,92010,6,908,0.235,389,3,510,-0.107,Sep18,
Carlsbad,92011,15,1045,0.306,468,8,679,-0.207,Sep18,
Carmel Valley,92130,31,1283,0.042,452,30,670,0.136,Sep18,
Chula Vista,91910,28,524,-0.065,339,8,376,0.107,Sep18,
Chula Vista,91911,27,489,0.051,320,11,349,0.058,Sep18,
Chula Vista,91913,21,615,0.105,278,17,370,-0.013,Sep18,
Chula Vista,91914,16,980,0.307,274,2,399,-0.004,Sep18,
Chula Vista,91915,23,630,-0.056,286,27,438,-0.002,Sep18,
Clairemont,92117,32,664,0.079,500,9,465,0.019,Sep18,
College Grove,92115,39,516,-0.079,410,17,324,0.165,Sep18,
Coronado,92118,16,1738,-0.107,792,13,1340,0.191,Sep18,
Del Mar,92014,9,2300,0.365,696,10,1272,0.169,Sep18,
Descanso,91916,2,525,0.596,201,0,,,Sep18,
Downtown,92101,2,1005,0.182,591,75,565,0.092,Sep18,
Dulzura,91917,0,,,,0,,,Sep18,
East San Diego,92102,7,499,-0.032,440,4,368,0.399,Sep18,
East San Diego,92105,25,483,0.206,473,8,278,0.158,Sep18,
El Cajon,92019,37,580,0.000,323,13,352,0.051,Sep18,
El Cajon,92020,27,575,0.159,361,4,253,-0.080,Sep18,
El Cajon,92021,38,499,-0.031,321,8,338,0.007,Sep18,
Encanto,92114,32,425,0.001,309,0,,,Sep18,
Encinitas,92024,44,1200,0.171,543,11,575,-0.057,Sep18,
Escondido,92025,29,607,0.226,310,2,502,0.195,Sep18,
Escondido,92026,49,547,0.122,281,8,245,0.181,Sep18,
Escondido,92027,35,500,0.112,304,8,226,0.079,Sep18,
Escondido,92029,22,672,-0.176,332,2,446,,Sep18,
Fallbrook,92028,53,551,-0.035,272,1,295,-0.119,Sep18,
Hillcrest,92103,15,862,-0.107,588,23,460,-0.247,Sep18,
Imperial Beach,91932,10,590,0.089,500,6,466,-0.003,Sep18,
Jacumba,91934,0,,,,0,,,Sep18,
Jamul,91935,7,620,-0.128,299,0,,,Sep18,
Julian,92036,5,389,0.030,284,0,,,Sep18,
La Jolla,92037,18,2250,0.148,755,38,720,0.210,Sep18,
La Mesa,91941,32,705,0.343,346,4,339,0.120,Sep18,
La Mesa,91942,19,530,0.010,368,13,345,-0.042,Sep18,
Lakeside,92040,30,475,-0.050,330,8,285,0.233,Sep18,
Lemon Grove,91945,18,460,0.022,357,5,305,0.052,Sep18,
Linda Vista,92111,23,625,0.071,450,11,465,0.192,Sep18,
Logan Heights,92113,9,395,-0.060,401,7,245,-0.244,Sep18,
Mira Mesa,92126,42,618,0.107,424,15,343,-0.043,Sep18,
Mission Village,92123,17,615,0.008,448,4,541,0.296,Sep18,
National City,91950,17,430,0.103,416,3,400,0.111,Sep18,
Normal Heights,92116,14,675,0.084,778,10,398,0.348,Sep18,
North Park,92104,21,695,-0.006,632,15,419,0.223,Sep18,
Ocean Beach,92107,12,1250,0.064,591,8,569,0.236,Sep18,
Oceanside,92054,28,615,-0.036,401,20,523,0.005,Sep18,
Oceanside,92056,58,575,0.085,340,5,330,-0.060,Sep18,
Oceanside,92057,63,447,-0.076,288,9,355,0.136,Sep18,
Oceanside,92058,10,529,0.069,302,6,359,0.052,Sep18,
Pacific Beach,92109,9,1305,0.099,756,20,495,-0.139,Sep18,
Palomar Mountain,92060,0,,,,0,,,Sep18,
Paradise Hills,92139,10,437,0.022,317,6,353,0.185,Sep18,
Pauma Valley,92061,5,661,0.210,248,0,,,Sep18,
Pine Valley,91962,4,475,-0.010,259,0,,,Sep18,
Point Loma,92106,13,1210,0.163,600,5,747,0.205,Sep18,
Potrero,91963,0,,,,0,,,Sep18,
Poway,92064,38,792,0.149,392,5,309,-0.320,Sep18,
Ramona,92065,31,543,0.014,290,3,375,0.242,Sep18,
Ranch Bernardo,92127,39,1115,0.062,381,11,408,-0.172,Sep18,
Ranch Bernardo,92128,36,717,0.064,404,44,494,0.127,Sep18,
Ranch Penasquitos,92129,31,790,0.060,396,18,400,-0.070,Sep18,
Ranch Santa Fe,92067,11,3150,0.255,513,1,927,-0.289,Sep18,
