City/Community,,House_units,House_price,House_change,House_foot,Condo_units,Condo_price,Condo_change,Month,
Warner Springs,92086,1,100,,99,0,,,Jan18,
Countywide,,1630,580,0.084,344,806,426,0.107,Feb18,
Allied Gardens,92120,21,650,0.085,413,3,445,0.612,Feb18,
Alpine,91901,10,593,0.131,332,0,,,Feb18,
Bay Park,92110,14,798,0.197,531,21,444,0.244,Feb18,
Bonita,91902,13,724,0.158,299,3,365,0.567,Feb18,
Bonsall,92003,1,575,-0.374,295,1,485,0.504,Feb18,
Borrego Springs,92004,13,200,0.000,155,1,160,1.302,Feb18,
Boulevard,91905,5,299,-0.260,200,0,,,Feb18,
Campo,91906,8,320,0.333,200,0,,,Feb18,
Cardiff-by-the-Sea,92007,8,871,0.542,600,2,1189,-0.220,Feb18,
Carlsbad,92008,11,850,0.034,445,14,879,2.256,Feb18,
Carlsbad,92009,24,990,0.135,372,19,525,0.148,Feb18,
Carlsbad,92010,12,743,0.155,350,10,518,0.067,Feb18,
Carlsbad,92011,9,1030,0.342,374,6,665,0.056,Feb18,
Carmel Valley,92130,15,1262,-0.058,497,25,625,-0.063,Feb18,
Chula Vista,91910,33,559,0.238,296,8,302,0.033,Feb18,
Chula Vista,91911,26,471,0.157,323,10,303,-0.024,Feb18,
Chula Vista,91913,24,580,0.126,281,22,400,0.149,Feb18,
Chula Vista,91914,16,828,0.118,249,2,388,0.092,Feb18,
Chula Vista,91915,13,655,0.172,267,17,426,0.027,Feb18,
Clairemont,92117,29,662,0.123,478,14,365,-0.099,Feb18,
College Grove,92115,39,507,0.056,398,14,292,0.450,Feb18,
Coronado,92118,11,1998,0.076,847,13,1299,0.067,Feb18,
Del Mar,92014,14,2013,0.383,710,6,1314,0.776,Feb18,
Descanso,91916,2,535,,428,0,,,Feb18,
Downtown,92101,0,,,,67,485,-0.030,Feb18,
Dulzura,91917,0,,,,0,,,Feb18,
East San Diego,92102,14,419,-0.303,389,6,355,0.352,Feb18,
East San Diego,92105,21,380,-0.034,363,7,205,0.513,Feb18,
El Cajon,92019,38,563,0.184,316,14,325,0.140,Feb18,
El Cajon,92020,27,505,-0.029,329,6,268,0.052,Feb18,
El Cajon,92021,29,452,0.062,326,9,268,0.094,Feb18,
Encanto,92114,43,415,0.142,322,2,261,-0.232,Feb18,
Encinitas,92024,34,1204,0.121,509,11,610,0.047,Feb18,
Escondido,92025,25,620,0.425,337,4,345,0.418,Feb18,
Escondido,92026,41,518,0.102,291,2,303,0.123,Feb18,
Escondido,92027,30,499,0.240,283,4,295,0.705,Feb18,
Escondido,92029,17,663,-0.170,308,0,,,Feb18,
Fallbrook,92028,33,543,0.153,276,1,421,0.347,Feb18,
Hillcrest,92103,16,964,-0.055,574,30,511,0.087,Feb18,
Imperial Beach,91932,3,580,0.078,567,3,240,-0.484,Feb18,
Jacumba,91934,0,,,,0,,,Feb18,
Jamul,91935,9,700,0.077,280,0,,,Feb18,
Julian,92036,5,480,0.433,267,0,,,Feb18,
La Jolla,92037,19,1728,-0.134,615,32,638,-0.303,Feb18,
La Mesa,91941,28,571,-0.048,345,1,320,0.306,Feb18,
La Mesa,91942,26,558,0.149,407,15,300,-0.084,Feb18,
Lakeside,92040,30,501,0.054,331,8,240,0.200,Feb18,
Lemon Grove,91945,22,453,0.027,321,1,234,0.365,Feb18,
Linda Vista,92111,17,619,0.086,433,15,400,0.019,Feb18,
Logan Heights,92113,11,330,-0.045,300,4,376,0.191,Feb18,
Mira Mesa,92126,21,627,0.097,377,16,360,-0.002,Feb18,
Mission Village,92123,15,615,0.118,459,14,422,-0.161,Feb18,
National City,91950,15,435,0.152,338,6,268,-0.330,Feb18,
Normal Heights,92116,16,718,0.271,603,11,350,-0.025,Feb18,
North Park,92104,9,597,0.038,609,13,400,0.280,Feb18,
Ocean Beach,92107,9,1210,0.083,684,6,529,0.841,Feb18,
Oceanside,92054,24,660,-0.022,446,14,488,0.061,Feb18,
Oceanside,92056,51,525,0.111,336,2,274,-0.206,Feb18,
Oceanside,92057,43,465,0.084,301,5,357,0.071,Feb18,
Oceanside,92058,,,,,,,,Feb18,
Pacific Beach,92109,14,1083,-0.022,726,23,600,0.013,Feb18,
Palomar Mountain,92060,0,,,,0,,,Feb18,
Paradise Hills,92139,11,440,0.060,320,2,358,0.212,Feb18,
Pauma Valley,92061,2,709,0.127,427,0,,,Feb18,
Pine Valley,91962,2,379,-0.053,252,0,,,Feb18,
Point Loma,92106,8,1606,0.656,662,1,685,0.761,Feb18,
Potrero,91963,0,,,,0,,,Feb18,
Poway,92064,37,702,0.080,387,5,426,0.134,Feb18,
Ramona,92065,27,528,0.055,276,4,326,0.050,Feb18,
Ranch Bernardo,92127,29,1120,0.032,368,16,360,-0.286,Feb18,
Ranch Bernardo,92128,15,720,0.210,331,32,539,0.372,Feb18,
Ranch Penasquitos,92129,22,768,0.129,406,9,360,0.101,Feb18,
Ranch Santa Fe,92067,13,2480,0.323,496,0,,,Feb18,
Ranch Santa Fe,92091,6,1100,0.196,532,1,765,0.208,Feb18,
Ranchita,92066,0,,,,0,,,Feb18,
San Carlos,92119,20,618,0.062,412,7,315,0.137,Feb18,
San Diego,92108,0,,,,21,365,0.159,Feb18,
San Diego,92112,0,,,,0,,,Feb18,
San Marcos,92069,26,546,0.040,333,7,352,0.431,Feb18,
San Marcos,92078,31,730,0.010,314,19,480,0.116,Feb18,
San Ysidro,92173,3,310,-0.291,260,3,231,0.127,Feb18,
Santa Ysabel,92070,0,,,,0,,,Feb18,
Santee,92071,28,532,0.156,368,27,400,0.198,Feb18,
Scripps Ranch,92131,23,930,0.136,390,9,530,0.206,Feb18,
Solana Beach,92075,8,1345,0.013,620,8,1191,0.791,Feb18,
Sorrento Valley,92121,2,954,0.177,399,2,524,0.046,Feb18,
South San Diego,92154,29,499,-0.007,279,7,270,-0.036,Feb18,
Spring Valley,91977,36,456,0.036,307,9,300,0.163,Feb18,
Spring Valley,91978,9,605,0.190,234,2,330,,Feb18,
Tierrasanta,92124,10,771,0.264,363,8,425,0.049,Feb18,
University City,92122,7,890,0.138,547,26,470,0.057,Feb18,
